title,price,make,model,yom,mileage,engine_cc,location,url,scrape_date
Bajaj Avenger Street 150 2018,550000,Bajaj,Avenger Street 150,2018,96000,150,Jaffna,https://ikman.lk/en/ad/bajaj-avenger-street-150-2018-for-sale-jaffna-3,2026-02-21
Bajaj Platina 2009,200000,Bajaj,Platina,2009,90900,100,Kandy,https://ikman.lk/en/ad/bajaj-platina-2009-for-sale-kandy-304,2026-02-21
Honda Dio 2016,430000,Honda,Dio,2016,45000,109,Puttalam,https://ikman.lk/en/ad/honda-dio-good-2016-for-sale-puttalam,2026-02-21
TVS Metro 2014,245000,TVS,Metro,2014,90359,100,Colombo,https://ikman.lk/en/ad/tvs-metro-2014-for-sale-colombo-530,2026-02-21
Honda PCX 125 2021,1450000,Honda,PCX 125,2021,16900,125,Kandy,https://ikman.lk/en/ad/honda-pcx-125-2021-for-sale-kandy-1,2026-02-21
Hero HF Dawn 2016,255000,Hero,HF Dawn,2016,32500,100,Puttalam,https://ikman.lk/en/ad/hero-hf-dawn-2016-for-sale-puttalam-1,2026-02-21
Hero Pleasure 2012,249000,Hero,Pleasure,2012,45000,100,Puttalam,https://ikman.lk/en/ad/hero-pleasure-2012-for-sale-puttalam-474,2026-02-21
Bajaj CT100 2008,265000,Bajaj,CT100,2008,43600,100,Puttalam,https://ikman.lk/en/ad/bajaj-ct100-2008-for-sale-puttalam-107,2026-02-21
Yamaha Fzs V4 2025,1165000,Yamaha,Fzs V4,2025,2000,149,Anuradhapura,https://ikman.lk/en/ad/yamaha-fzs-v4-2019-for-sale-anuradhapura,2026-02-21
Yamaha MT 15 V2 2025,1400000,Yamaha,MT 15,2025,8000,155,Badulla,https://ikman.lk/en/ad/yamaha-mt-15-v2-2025-for-sale-badulla-3,2026-02-21
Hero Splendor i smart 2017,300000,Hero,Splendor i smart,2017,55688,110,Colombo,https://ikman.lk/en/ad/hero-splendor-i-smart-110-2017-for-sale-colombo-1,2026-02-21
Ranomoto Pattaya 2019,147000,Ranomoto,Pattaya,2019,19000,125,Batticaloa,https://ikman.lk/en/ad/ranomoto-pattaya-2019-for-sale-batticaloa-17,2026-02-21
Honda CD 125 1980,320000,Honda,CD 125,1980,300000,125,Trincomalee,https://ikman.lk/en/ad/honda-cb-125-1990-1980-for-sale-trincomalee,2026-02-21
Yamaha Ray ZR 2017,415000,Yamaha,Ray ZR,2017,38580,125,Vavuniya,https://ikman.lk/en/ad/yamaha-ray-zr-2017-for-sale-vavuniya-1,2026-02-21
Ranomoto Safari 4s 2004,135000,Ranomoto,Other Model,2004,11300,48,Polonnaruwa,https://ikman.lk/en/ad/ranomoto-safari-4s-2004-for-sale-polonnaruwa,2026-02-21
Hero Pleasure 2011,230000,Hero,Pleasure,2011,55247,100,Hambantota,https://ikman.lk/en/ad/hero-pleasure-0760282146-2011-for-sale-hambantota,2026-02-21
Bajaj Pulsar 135 2012,238000,Bajaj,Pulsar 135,2012,76833,135,Kalutara,https://ikman.lk/en/ad/bajaj-pulsar-135-2012-for-sale-kalutara-892,2026-02-21
Honda Dio BEG 2016,70000,Honda,Dio,2016,48000,110,Gampaha,https://ikman.lk/en/ad/honda-dio-beg-2016-for-sale-gampaha-1,2026-02-21
Hero Glamour 125cc 2012,200000,Hero,Glamour,2012,100000,125,Kalutara,https://ikman.lk/en/ad/hero-glamour-125cc-2012-for-sale-kalutara,2026-02-21
Aprilia SR 125 2019,315000,Aprilia,SR 125,2019,38600,125,Colombo,https://ikman.lk/en/ad/aprilia-sr-125-sr125-2019-for-sale-colombo,2026-02-21
Honda Dio Mat Colour 2012,315000,Honda,Dio,2012,42000,110,Colombo,https://ikman.lk/en/ad/honda-dio-mat-colour-2012-for-sale-colombo-1,2026-02-21
Bajaj CT100 Brand New 2026,138000,Bajaj,CT100,2026,0,100,Kegalle,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2026-for-sale-kegalle-59,2026-02-21
Bajaj Pulsar NS200 2025,490110,Bajaj,Pulsar NS200,2025,0,200,Colombo,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2025-for-sale-colombo-178,2026-02-21
Bajaj CT100 Brand New Blue 2026,174000,Bajaj,CT100,2026,0,100,Kurunegala,https://ikman.lk/en/ad/bajaj-ct100-brand-new-blue-2026-for-sale-kurunegala,2026-02-21
Hero Pleasure 2011,230000,Hero,Pleasure,2011,55247,100,Hambantota,https://ikman.lk/en/ad/hero-pleasure-0760282146-2011-for-sale-hambantota,2026-02-21
Bajaj Pulsar 135 2012,238000,Bajaj,Pulsar 135,2012,76833,135,Kalutara,https://ikman.lk/en/ad/bajaj-pulsar-135-2012-for-sale-kalutara-892,2026-02-21
