title,price,make,model,yom,mileage,engine_cc,location
Bajaj CT100 ES 2026,184500,Bajaj,Ct100,2026,0,100,Colombo
Bajaj Discover 125 2015,80000,Bajaj,Discover 125,2015,36000,125,Colombo
Bajaj Pulsar 150 2013,162500,Bajaj,Pulsar 150,2013,12345,150,Kandy
Hero Xoom 110 Combat 2026,359950,Hero,Xoom 110,2026,0,110,Colombo
Hero Xoom 110 2026,357950,Hero,Xoom 110,2026,0,110,Colombo
Bajaj Platina NEW 2018,145000,Bajaj,Platina,2018,34000,100,Colombo
Hero HF Deluxe 100Cc 2026,288950,Hero,Hf Deluxe,2026,0,100,Colombo
KTM Duke 125 2019,830000,Ktm,Duke 125,2019,57000,125,Jaffna
Bajaj Pulsar 135 2015,295000,Bajaj,Pulsar 135,2015,29000,135,Puttalam
TVS Ntorq Brand New 2026,199700,Tvs,Ntorq,2026,0,125,Kalutara
Hero XOOM 125R 2026,417950,Hero,Xoom 125R,2026,0,125,Colombo
Yamaha Ray ZR 125 2026,269950,Yamaha,Ray Zr,2026,1,125,Gampaha
TVS Sport Brand New 2026,149900,Tvs,Sport,2026,0,110,Colombo
Yamaha FZS V3 2020,248000,Yamaha,Fzs V3,2020,48000,150,Gampaha
TVS Raider 125 2026,157500,Tvs,Raider 125,2026,0,125,Colombo
Bajaj Pulsar N160 Brand New 2026,279135,Bajaj,Pulsar N160,2026,0,160,Gampaha
Honda PCX 125 2025,1750000,Honda,Pcx 125,2025,0,125,Gampaha
Bajaj Pulsar NS200 2018,185000,Bajaj,Pulsar Ns200,2018,31300,200,Colombo
Ranomoto Pattaya 2020,240000,Ranomoto,Pattaya,2020,17500,125,Puttalam
Bajaj Pulsar 150 2015,549000,Bajaj,Pulsar 150,2015,55000,150,Kandy
Bajaj CT100 2026,184360,Bajaj,Ct100,2026,0,100,Gampaha
Bajaj CT100 2026,149045,Bajaj,Ct100,2026,0,100,Colombo
Honda Dio 2015,480000,Honda,Dio,2015,59000,109,Anuradhapura
Bajaj Discover 125 2007,250000,Bajaj,Discover 125,2007,76000,125,Gampaha
Bajaj Discover 2010,76500,Bajaj,Discover,2010,29500,135,Colombo
TVS Metro 2011,145000,Tvs,Metro,2011,29500,110,Colombo
Hero Hunk 2016,86500,Hero,Hunk,2016,23500,150,Colombo
Hero Pleasure 2014,86500,Hero,Pleasure,2014,23500,100,Colombo
Hero Xtream 2013,36500,Hero,Xtream,2013,29500,150,Colombo
Bajaj CT100 2018,65000,Bajaj,Ct100,2018,26500,100,Colombo
Honda Dio 2016,116500,Honda,Dio,2016,23500,110,Colombo
Yamaha FZ S 2015,86500,Yamaha,Fz S,2015,26580,150,Colombo
Bajaj Pulsar N160 Premium 2026,416110,Bajaj,Pulsar N160,2026,0,160,Colombo
TVS Ntorq 125 BRAND NEW 2026,156800,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Ntorq 125 BRAND NEW 2021,156800,Tvs,Ntorq 125,2021,0,125,Colombo
TVS Ntorq Brand New 2026,168500,Tvs,Ntorq,2026,0,125,Gampaha
KTM Duke 160 2026,771880,Ktm,Duke,2026,0,160,Colombo
Bajaj Discover 125 2026,198245,Bajaj,Discover 125,2026,0,125,Colombo
Bajaj Pulsar N160 2026,279135,Bajaj,Pulsar N160,2026,0,160,Colombo
Bajaj Pulsar 135 2014,345000,Bajaj,Pulsar 135,2014,50000,135,Kandy
Bajaj CT100 ES 2026,149000,Bajaj,Ct100,2026,0,100,Colombo
Hero Splendor i smart 2016,310000,Hero,Splendor I Smart,2016,75000,140,Ampara
Hero Duet 2019,265000,Hero,Duet,2019,52500,110,Matale
Bajaj Pulsar N160 Premium 2026,279135,Bajaj,Pulsar N160,2026,0,160,Colombo
Ranomoto Pattaya 2017,150000,Ranomoto,Pattaya,2017,13000,125,Colombo
Dyno Scooby 125 2022,300000,Dyno,Scooby 125,2022,33000,125,Puttalam
TVS Ntorq 125 BRAND NEW 2026,165800,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj CT100 2025,185000,Bajaj,Ct100,2025,0,100,Colombo
Yamaha MT 15 V2 2025,1460000,Yamaha,Mt 15,2025,4500,160,Matara
Bajaj CT100 2026,185000,Bajaj,Ct100,2026,0,100,Colombo
Bajaj CT100 2026,149000,Bajaj,Ct100,2026,0,100,Colombo
Bajaj CT100 CT 100 ES 2025,185000,Bajaj,Ct100,2025,0,100,Colombo
Bajaj Pulsar NS160 2025,930000,Bajaj,Pulsar Ns160,2025,800,160,Matara
TVS Raider 125 2025,645000,Tvs,Raider 125,2025,4935,125,Colombo
Bajaj Boxer 2003,158000,Bajaj,Boxer,2003,87000,100,Kegalle
Yamaha TW 200 2007,690000,Yamaha,Tw 200,2007,72000,200,Kandy
TVS Raider 125 2026,158200,Tvs,Raider 125,2026,0,125,Colombo
Bajaj Pulsar 150 2020,735000,Bajaj,Pulsar 150,2020,35000,150,Gampaha
TVS Wego 2016,85000,Tvs,Wego,2016,29500,110,Colombo
Hero Pleasure 2013,80000,Hero,Pleasure,2013,38000,110,Gampaha
Bajaj Platina 2014,65000,Bajaj,Platina,2014,32000,100,Colombo
TVS Metro 2016,285000,Tvs,Metro,2016,31000,100,Colombo
Bajaj Discover 125 2024,620000,Bajaj,Discover 125,2024,6500,125,Colombo
Suzuki GN 125 2017,655000,Suzuki,Gn 125,2017,23500,125,Colombo
Hero Pleasure 2018,395000,Hero,Pleasure,2018,23510,100,Colombo
Bajaj Pulsar N125 2025,255000,Bajaj,Pulsar N125,2025,0,125,Colombo
TVS Metro 2018,85000,Tvs,Metro,2018,26500,100,Colombo
Bajaj Discover 125 2023,90000,Bajaj,Discover 125,2023,21000,125,Colombo
Bajaj CT100 2006,215000,Bajaj,Ct100,2006,65000,100,Puttalam
Honda Dio 2015,86500,Honda,Dio,2015,28600,110,Colombo
Honda Dio 2016,75000,Honda,Dio,2016,26500,110,Colombo
Yamaha Ray ZR 2017,450000,Yamaha,Ray Zr,2017,570919,100,Anuradhapura
Bajaj CT100 2010,250000,Bajaj,Ct100,2010,98000,100,Anuradhapura
TVS Wego 110 2016,425000,Tvs,Wego 110,2016,70000,110,Matara
Demak DTM 2017,410000,Demak,Dtm,2017,300000,200,Matara
Bajaj Discover 125 2025,326000,Bajaj,Discover 125,2025,0,125,Colombo
Hero Dash 2017,335000,Hero,Dash,2017,28660,110,Kandy
Honda Dio 2017,520000,Honda,Dio,2017,42902,110,Anuradhapura
Bajaj CT100 2025,264000,Bajaj,Ct100,2025,0,100,Colombo
Bajaj CT100 2008,220000,Bajaj,Ct100,2008,72000,100,Anuradhapura
TVS Scooty Pep+ pepx 2019,380000,Tvs,Scooty Pep+,2019,43339,100,Hambantota
Suzuki Gixxer 2017,490000,Suzuki,Gixxer,2017,62000,150,Jaffna
Bajaj Discover 2010,400000,Bajaj,Discover,2010,75000,135,Badulla
Yamaha Ray ZR Street Rally 2020,565000,Yamaha,Ray Zr,2020,36500,115,Colombo
TVS Ntorq 125 Disk Break 2019,85000,Tvs,Ntorq 125,2019,45000,125,Colombo
Bajaj CT100 2012,310000,Bajaj,Ct100,2012,18000,110,Kurunegala
Bajaj Pulsar 150 2018,630000,Bajaj,Pulsar 150,2018,64000,150,Kandy
Bajaj Pulsar N160 Premium 2026,416000,Bajaj,Pulsar N160,2026,0,160,Gampaha
Bajaj Pulsar N160 2026,457975,Bajaj,Pulsar N160,2026,0,160,Gampaha
Bajaj Pulsar NS200 2026,184000,Bajaj,Pulsar Ns200,2026,0,100,Gampaha
TVS Sport Brand New 2026,141500,Tvs,Sport,2026,0,125,Colombo
Hero Dawn 2005,145000,Hero,Dawn,2005,48500,100,Anuradhapura
Bajaj CT100 2025,152950,Bajaj,Ct100,2025,0,100,Colombo
TVS Sport 2026,140000,Tvs,Sport,2026,0,110,Colombo
Bajaj CT100 2011,283000,Bajaj,Ct100,2011,81000,100,Puttalam
Bajaj Discover 125 2017,60000,Bajaj,Discover 125,2017,35000,125,Colombo
TVS Raider 125 Brand New 2026,178500,Tvs,Raider 125,2026,0,125,Colombo
TVS Raider 125 2026,178000,Tvs,Raider 125,2026,0,125,Colombo
Bajaj Discover 125 2017,60000,Bajaj,Discover 125,2017,65000,125,Colombo
Senaro GN 125 2026,184000,Senaro,Gn 125,2026,0,125,Gampaha
Bajaj Pulsar N160 2026,416000,Bajaj,Pulsar N160,2026,0,160,Gampaha
TVS Ntorq 125 2026,168000,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Ntorq 125 2026,168500,Tvs,Ntorq 125,2026,0,125,Colombo
Yamaha Ray ZR 2019,80000,Yamaha,Ray Zr,2019,35000,115,Colombo
Honda PCX 150 2020,1280000,Honda,Pcx,2020,41000,149,Colombo
Bajaj Platina 100 2007,215000,Bajaj,Platina 100,2007,10523,100,Trincomalee
Bajaj Pulsar RS200 2018,1055000,Bajaj,Pulsar Rs200,2018,59000,200,Jaffna
Bajaj Pulsar 135 2017,360000,Bajaj,Pulsar 135,2017,64200,135,Kegalle
TVS Wego 2018,500000,Tvs,Wego,2018,35000,110,Matara
Bajaj Discover 125 2014,380000,Bajaj,Discover 125,2014,50000,125,Hambantota
TVS Star Sport 125 2012,195000,Tvs,Star Sport 125,2012,68000,125,Colombo
TVS Raider 125 2026,285000,Tvs,Raider 125,2026,0,125,Colombo
Bajaj Pulsar 150 2015,520000,Bajaj,Pulsar 150,2015,82000,150,Gampaha
Honda Dio 2018,520000,Honda,Dio,2018,46000,110,Mannar
Demak DTM 200 2016,365000,Demak,Dtm,2016,22000,200,Matara
Yamaha Ray ZR 2019,430000,Yamaha,Ray Zr,2019,46000,110,Anuradhapura
Bajaj Platina 125 2009,205000,Bajaj,Platina 125,2009,125000,125,Anuradhapura
Bajaj Pulsar N160 premium 2025,255000,Bajaj,Pulsar N160,2025,0,160,Kurunegala
Bajaj Pulsar NS200 2025,334000,Bajaj,Pulsar Ns200,2025,0,200,Kurunegala
TVS Ntorq 125 2026,199000,Tvs,Ntorq 125,2026,0,125,Colombo
Suzuki GN 125 2007,460000,Suzuki,Gn 125,2007,58000,125,Gampaha
Bajaj Pulsar 150 2018,665000,Bajaj,Pulsar 150,2018,57700,150,Matara
Yamaha FZS V3 2020,1000000,Yamaha,Fzs V3,2020,10000,160,Galle
Hero Pleasure 2014,325000,Hero,Pleasure,2014,10000,100,Kurunegala
Bajaj Discover 125 Brand New 2026,251000,Bajaj,Discover 125,2026,0,125,Colombo
Bajaj CT100 Brand New 2026,185000,Bajaj,Ct100,2026,0,100,Colombo
Bajaj Discover 150 2011,230000,Bajaj,Discover,2011,89000,150,Anuradhapura
KTM Duke 125 2019,822000,Ktm,Duke 125,2019,56000,125,Jaffna
Hero Maestro Edge 2020,338000,Hero,Maestro Edge,2020,34500,110,Colombo
TVS Raider 125 2026,199500,Tvs,Raider 125,2026,0,125,Colombo
Bajaj Pulsar NS200 Brand New 2026,515000,Bajaj,Pulsar Ns200,2026,0,200,Colombo
Demak Skyline 2017,385000,Demak,Skyline,2017,45000,225,Gampaha
TVS Scooty Pep+ 2011,195000,Tvs,Scooty Pep+,2011,45000,90,Matara
Bajaj Boxer 1997,110000,Bajaj,Boxer,1997,50000,100,Matale
Honda Dio 110 2020,588000,Honda,Dio,2020,39744,110,Gampaha
NWOW SE 2018,200000,Nwow,Se,2018,22500,100,Colombo
Bajaj Pulsar N125 Brand New 2026,255000,Bajaj,Pulsar N125,2026,0,125,Colombo
Bajaj Platina 100 2011,235000,Bajaj,Platina,2011,39444,100,Gampaha
TVS Raider 125 2026,156900,Tvs,Raider 125,2026,0,125,Colombo
Honda Twister dawn pemant 100000 2017,338000,Honda,Twister,2017,39885,110,Gampaha
Honda Dio DX 2018,585000,Honda,Dio,2018,42000,110,Kegalle
TVS Sport 110 2026,108500,Tvs,Sport,2026,0,110,Colombo
E Bike ZS 2025,130000,Other Brand,Other Model,2025,0,1200,Gampaha
E Bike ZL 2025,147000,Other Brand,Other Model,2025,0,2000,Gampaha
XGW 2025,112000,Other Brand,Other Model,2025,0,1200,Gampaha
E Bike G18 2025,182000,Other Brand,Other Model,2025,0,2000,Gampaha
Bajaj Discover 125 Disc ES New 2025,325975,Bajaj,Discover 125,2025,0,125,Colombo
Bajaj Discover 125 ES Disc New 2025,325975,Bajaj,Discover 125,2025,0,125,Colombo
TVS Sport 110 2026,108000,Tvs,Sport,2026,0,110,Colombo
Bajaj Pulsar NS200 2018,900000,Bajaj,Pulsar Ns200,2018,78990,200,Colombo
Bajaj CT100 2019,510000,Bajaj,Ct100,2019,27000,100,Colombo
Bajaj Discover 2010,260000,Bajaj,Discover,2010,56000,135,Vavuniya
Bajaj CT100 2016,450000,Bajaj,Ct100,2016,92458,100,Puttalam
Honda ADV 160 2025,2100000,Honda,Adv 160,2025,0,160,Colombo
TVS IQUBE S 2026,129500,Tvs,Iqube S,2026,0,125,Kalutara
TVS Ntorq 2026,139500,Tvs,Ntorq,2026,0,125,Kalutara
Ranomoto Pattaya 2019,147000,Ranomoto,Pattaya,2019,20000,125,Ampara
Yamaha Ray ZR STREET RALLY 2019,115000,Yamaha,Ray Zr,2019,68500,110,Kurunegala
Bajaj Platina 2010,210000,Bajaj,Platina,2010,62000,100,Puttalam
Hero Dash 2016,275000,Hero,Dash,2016,35800,110,Kurunegala
Honda Grazia 125 2019,535000,Honda,Grazia,2019,48000,125,Colombo
Bajaj Pulsar 135 2016,290000,Bajaj,Pulsar 135,2016,25000,135,Galle
Bajaj Pulsar 150 2014,570000,Bajaj,Pulsar 150,2014,21627,150,Kandy
Bajaj Pulsar 150 2016,540000,Bajaj,Pulsar 150,2016,43500,150,Batticaloa
Honda CBR 2025,4000000,Honda,Cbr,2025,0,250,Anuradhapura
Bajaj Pulsar 135 2011,225000,Bajaj,Pulsar 135,2011,75000,135,Colombo
Honda Dio 2019,560000,Honda,Dio,2019,40000,110,Colombo
Hero Dawn 2004,145000,Hero,Dawn,2004,150000,100,Batticaloa
Hero Pleasure 2012,130000,Hero,Pleasure,2012,38800,110,Hambantota
Hero Dash 2017,360000,Hero,Dash,2017,34995,770,Kandy
Hero Dash 2015,295000,Hero,Dash,2015,55000,102,Gampaha
Bajaj Pulsar 135 2008,155000,Bajaj,Pulsar 135,2008,37000,135,Colombo
Honda Hornet 2007,2050000,Honda,Hornet,2007,39000,250,Gampaha
Bajaj Pulsar 135 2018,530000,Bajaj,Pulsar 135,2018,20000,135,Colombo
Bajaj Pulsar NS200 2025,1079950,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj Pulsar N160 Premium 2025,955950,Bajaj,Pulsar N160,2025,0,160,Colombo
Bajaj CT100 2025,577950,Bajaj,Ct100,2025,0,100,Colombo
TVS Wego 2017,440000,Tvs,Wego,2017,82680,110,Kalutara
Bajaj Pulsar 150 2016,565000,Bajaj,Pulsar 150,2016,53000,150,Colombo
Hero Hunk 2014,360000,Hero,Hunk,2014,166380,150,Anuradhapura
Suzuki Gixxer SF 2017,520000,Suzuki,Gixxer Sf,2017,49000,150,Kegalle
Bajaj Pulsar NS200 2019,870000,Bajaj,Pulsar Ns200,2019,50000,200,Kalutara
TVS Apache 200 2017,500000,Tvs,Apache,2017,38000,200,Colombo
Bajaj Pulsar NS160 2018,700000,Bajaj,Pulsar Ns160,2018,22639,160,Badulla
TVS Apache RTR 200 Race Edition 2019,790000,Tvs,Apache Rtr 200,2019,62000,200,Colombo
TVS Stryker 2018,400000,Tvs,Stryker,2018,70000,125,Gampaha
Bajaj Pulsar 135 2010,235000,Bajaj,Pulsar 135,2010,121950,135,Gampaha
Honda Dio 2018,575000,Honda,Dio,2018,62000,100,Hambantota
TVS Star Sport 2019,370000,Tvs,Star Sport,2019,104000,100,Gampaha
Bajaj Discover 135 2008,320000,Bajaj,Discover,2008,85000,135,Polonnaruwa
TVS Wego 110 2014,330000,Tvs,Wego 110,2014,52000,110,Colombo
Mahindra Centuro Rockstar DB 2019,225000,Mahindra,Centuro,2019,10550,110,Colombo
Honda PCX 125 2021,1485000,Honda,Pcx 125,2021,20000,125,Puttalam
Honda PCX160 Brand New 2025,1860000,Honda,Pcx160,2025,0,157,Gampaha
TVS Apache 2012,360000,Tvs,Apache,2012,66000,180,Ampara
Bajaj Platina 2011,255000,Bajaj,Platina,2011,67000,125,Colombo
Honda Dio 2013,525000,Honda,Dio,2013,49427,110,Kurunegala
Hero Super Splendor 2011,230000,Hero,Super Splendor,2011,56230,100,Jaffna
Ranomoto Pattaya 2019,149000,Ranomoto,Pattaya,2019,19000,125,Batticaloa
Bajaj Discover 125 2014,325000,Bajaj,Discover 125,2014,86000,125,Gampaha
Hero HF Deluxe 2012,300000,Hero,Hf Deluxe,2012,80000,110,Hambantota
Bajaj Discover 125 2015,96500,Bajaj,Discover 125,2015,45000,125,Colombo
Bajaj Platina 2014,390000,Bajaj,Platina,2014,55500,100,Kalutara
Bajaj Pulsar 150 2016,495000,Bajaj,Pulsar 150,2016,44000,100,Kandy
Bajaj Pulsar 150 2017,660000,Bajaj,Pulsar 150,2017,61000,150,Batticaloa
Yamaha RayZR 2014,320000,Yamaha,Rayzr,2014,25000,113,Anuradhapura
Bajaj Byk 2005,100000,Bajaj,Byk,2005,80000,100,Matale
Bajaj Discover 125 2006,240000,Bajaj,Discover 125,2006,33330,125,Gampaha
Honda Dio 2012,178000,Honda,Dio,2012,66255,110,Gampaha
Bajaj Pulsar 150 2019,750000,Bajaj,Pulsar 150,2019,37000,150,Ampara
Demak DTM 2016,375000,Demak,Dtm,2016,15000,150,Kegalle
Bajaj Pulsar 150 2018,650000,Bajaj,Pulsar 150,2018,59000,150,Batticaloa
TVS Apache Trim 2017,570000,Tvs,Apache,2017,65000,200,Badulla
Honda Super Club 1999,280000,Honda,Super Club,1999,100000,90,Puttalam
Bajaj CT100 ES 2025,185000,Bajaj,Ct100,2025,0,100,Colombo
Bajaj CT100 ES 100 New 2025,258975,Bajaj,Ct100,2025,0,100,Colombo
Bajaj CT100 ES 100 New CT ® 2025,258975,Bajaj,Ct100,2025,0,100,Colombo
Honda Little Cub 2010,295000,Honda,Little Cub,2010,56230,50,Kurunegala
Yamaha Ray ZR 2018,490000,Yamaha,Ray Zr,2018,1115,125,Anuradhapura
Bajaj CT100 2005,240000,Bajaj,Ct100,2005,8437,100,Colombo
TVS Ntorq 125 Brand New 2026,168000,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj Pulsar 150 2018,660000,Bajaj,Pulsar 150,2018,56726,150,Hambantota
Hero Maestro Edge 2018,285000,Hero,Maestro Edge,2018,69788,115,Anuradhapura
Bajaj Pulsar 150 2012,398000,Bajaj,Pulsar 150,2012,55000,150,Galle
Yadea T5 2025,415000,Yadea,T5,2025,7650,80,Colombo
TVS Star Sport 2011,155000,Tvs,Star Sport,2011,64587,125,Kandy
Bajaj Platina 2010,255000,Bajaj,Platina,2010,75000,100,Gampaha
Bajaj Pulsar 150 2020,835000,Bajaj,Pulsar 150,2020,34000,150,Ampara
Bajaj Discover 135 2009,385000,Bajaj,Discover,2009,100000,135,Kalutara
Bajaj Discover 2011,250000,Bajaj,Discover,2011,56200,150,Gampaha
Hero CD 100 2011,165000,Hero,Cd 100,2011,80000,100,Trincomalee
TVS Raider 125 2025,675000,Tvs,Raider 125,2025,3200,125,Trincomalee
Hero HF Deluxe 2018,380000,Hero,Hf Deluxe,2018,10500,100,Ampara
Bajaj Pulsar 150 2012,455000,Bajaj,Pulsar 150,2012,80000,150,Kandy
Suzuki GN 125 2018,690000,Suzuki,Gn 125,2018,43998,125,Ratnapura
Bajaj Discover 2011,260000,Bajaj,Discover,2011,76841,150,Matara
Bajaj Pulsar 150 Twin Disc 2018,640000,Bajaj,Pulsar 150,2018,70000,149,Kurunegala
Bajaj Pulsar RS200 2020,1250000,Bajaj,Pulsar Rs200,2020,54000,200,Jaffna
Bajaj CT100 2004,240000,Bajaj,Ct100,2004,820538,100,Puttalam
Bajaj Pulsar 150 2020,190000,Bajaj,Pulsar 150,2020,46000,150,Kurunegala
Honda Dio 2018,545000,Honda,Dio,2018,61230,110,Gampaha
Bajaj Pulsar NS200 BS7 2025,395000,Bajaj,Pulsar Ns200,2025,5590,200,Gampaha
Kawasaki D Tracker 2024,2380000,Kawasaki,D Tracker,2024,17000,250,Gampaha
Honda Dio 2020,575000,Honda,Dio,2020,38000,100,Jaffna
Hero Splendor i smart uced 2018,55000,Hero,Splendor I Smart,2018,66900,125,Kalutara
Bajaj Pulsar N160 Premium 2026,279145,Bajaj,Pulsar N160,2026,0,160,Gampaha
Bajaj Pulsar 150 2014 2016,510000,Bajaj,Pulsar 150,2016,100,150,Jaffna
TVS Ntorq 125 Race Edition 2026,199000,Tvs,Ntorq 125,2026,0,125,Colombo
Honda CB4 2017,4460000,Honda,Cb4,2017,15000,400,Vavuniya
Hero Hunk 2014,460000,Hero,Hunk,2014,55000,160,Kilinochchi
Bajaj Pulsar NS200 2026,509975,Bajaj,Pulsar Ns200,2026,0,200,Colombo
Hero XOOM 125R 2026,699000,Hero,Xoom 125R,2026,0,125,Galle
Bajaj Pulsar NS200 Brand New 2025,490110,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj CT100 CT 100 Motorbike 2024,450000,Bajaj,Ct100,2024,6000,100,Kandy
Honda Twister 2017,330000,Honda,Twister,2017,24000,110,Colombo
Bajaj CT 110 2012,320000,Bajaj,Ct 110,2012,40000,100,Kandy
TVS Raider 125 2026,195000,Tvs,Raider 125,2026,0,125,Colombo
Yamaha Fzs V4 Auto 2025,368970,Yamaha,Fzs V4,2025,0,149,Colombo
Suzuki GN 125 Japan In Light 2001,400000,Suzuki,Gn 125,2001,89000,125,Colombo
Hero Passion pro 2019,345000,Hero,Passion Pro,2019,55000,120,Jaffna
Yamaha N Max 2019,880000,Yamaha,N Max,2019,37000,125,Colombo
Bajaj CT100 2020,495000,Bajaj,Ct100,2020,22400,100,Kurunegala
Honda Dio 2025,760000,Honda,Dio,2025,4000,100,Gampaha
Bajaj Discover 125 2026,250000,Bajaj,Discover 125,2026,0,125,Kalutara
Ranomoto GN125H 2025,550000,Ranomoto,Other Model,2025,2500,125,Badulla
Bajaj Pulsar N160 Premium 2026,299000,Bajaj,Pulsar N160,2026,0,160,Kegalle
Ranomoto Pattaya 2024,320000,Ranomoto,Pattaya,2024,16558,120,Jaffna
Honda PCX 125 2022,1450000,Honda,Pcx 125,2022,39000,125,Colombo
Bajaj Platina 100 ES 2015,365000,Bajaj,Platina 100 Es,2015,63782,100,Colombo
Bajaj Pulsar N125 2025,323000,Bajaj,Pulsar N125,2025,0,125,Colombo
Honda Super Club 50 2006,210000,Honda,Super Club,2006,80448,50,Kalutara
Bajaj Boxer 2004,165000,Bajaj,Boxer,2004,54000,100,Gampaha
Hero Pleasure Plus Used 2014,310000,Hero,Pleasure Plus,2014,41000,100,Matara
Yamaha MT 15 2019,1170000,Yamaha,Mt 15,2019,28000,155,Ampara
Honda Dio 2016,181000,Honda,Dio,2016,49350,128,Gampaha
Bajaj Discover 125 2025,217000,Bajaj,Discover 125,2025,0,125,Kalutara
Bajaj Caliber 2003,145000,Bajaj,Caliber,2003,54000,115,Colombo
Hero CD 100 2009,180000,Hero,Cd 100,2009,68977,100,Colombo
Yamaha FZs V2 2017,840000,Yamaha,Fzs V2,2017,40000,150,Colombo
Bajaj Pulsar NS200 2018,850000,Bajaj,Pulsar Ns200,2018,43240,200,Vavuniya
TVS Metro 2008,140000,Tvs,Metro,2008,288800,100,Kurunegala
Suzuki Burgman 2020,610000,Suzuki,Burgman,2020,62000,125,Gampaha
Bajaj Pulsar N160 premium 2025,458000,Bajaj,Pulsar N160,2025,0,160,Colombo
TVS Raider 125 Brand new 2026,188500,Tvs,Raider 125,2026,0,125,Gampaha
TVS Ntorq 125 Brand New 2026,155000,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj CT100 Brand New 2026,184500,Bajaj,Ct100,2026,0,100,Colombo
Bajaj Pulsar 150 2017,530000,Bajaj,Pulsar 150,2017,80000,150,Kalutara
TVS Raider 125 Brand New 2026,188500,Tvs,Raider 125,2026,0,125,Colombo
Yamaha FZs 2012,438000,Yamaha,Fzs,2012,68358,150,Gampaha
KTM Duke 160 Brand New 2026,771880,Ktm,Duke,2026,0,160,Colombo
TVS Ntorq Brand new 2026,158500,Tvs,Ntorq,2026,0,125,Kalutara
Bajaj Pulsar 150 2017,105000,Bajaj,Pulsar 150,2017,65000,150,Colombo
Bajaj Discover 125 2018,60000,Bajaj,Discover 125,2018,65000,125,Colombo
Kinetic Safari 48 Cc 2014,108000,Kinetic,Safari,2014,34525,48,Gampaha
Yamaha Mate 50 1994,65000,Yamaha,Mate,1994,54522,50,Gampaha
Hero Cbz Xtrem 150 2008,118000,Hero,Other Model,2008,34522,150,Gampaha
TVS Apache RTR 2012,350000,Tvs,Apache Rtr,2012,38000,150,Colombo
Bajaj CT100 ES Brand New 2026,149000,Bajaj,Ct100,2026,0,100,Colombo
Bajaj CT100 2026,184300,Bajaj,Ct100,2026,0,102,Kalutara
Yamaha FZ S v2 2017,765000,Yamaha,Fz S,2017,50000,150,Colombo
Honda Press Cub 50 2003,105000,Honda,Other Model,2003,36255,50,Gampaha
Bajaj CT100 Es Brand New 2026,149000,Bajaj,Ct100,2026,0,100,Gampaha
TVS Ntorq BKB 2025,740000,Tvs,Ntorq,2025,4000,125,Puttalam
Bajaj Platina 2013,79000,Bajaj,Platina,2013,11000,100,Galle
Bajaj Pulsar 150 2020,750000,Bajaj,Pulsar 150,2020,52000,150,Kalutara
Honda Hornet 2010,695000,Honda,Hornet,2010,11000,250,Kalutara
Yamaha R15 2020,1245000,Yamaha,R15,2020,35670,150,Jaffna
Bajaj V15 2017,335000,Bajaj,V15,2017,42100,150,Colombo
Bajaj Pulsar 135 2013,350000,Bajaj,Pulsar 135,2013,106000,135,Jaffna
Honda MD 2021,570000,Honda,Md,2021,57095,90,Jaffna
Honda Dio 2018,590000,Honda,Dio,2018,79000,110,Colombo
Honda Dio Red 2018,110000,Honda,Dio,2018,50000,110,Colombo
Bajaj Discover 125 used 2014,70000,Bajaj,Discover 125,2014,45800,125,Anuradhapura
Bajaj Discover 2006,220000,Bajaj,Discover,2006,90000,150,Trincomalee
Bajaj CT100 used 2016,465000,Bajaj,Ct100,2016,55400,100,Monaragala
Honda Dio 2019,605000,Honda,Dio,2019,32000,110,Colombo
Bajaj Discover 2008,385000,Bajaj,Discover,2008,60000,135,Kurunegala
TVS Ntorq 2023,628000,Tvs,Ntorq,2023,23525,125,Gampaha
Honda CB4 2010,1095000,Honda,Cb4,2010,75000,399,Kalutara
TVS Apache RTR 150 2009,180000,Tvs,Apache,2009,50000,150,Colombo
Bajaj Discover 150 2011,225000,Bajaj,Discover,2011,55000,150,Batticaloa
Bajaj CT100 2008,245000,Bajaj,Ct100,2008,45000,100,Monaragala
Bajaj Pulsar N160 2024,775000,Bajaj,Pulsar N160,2024,20000,164,Galle
Hero Splendor i smart 2015,260000,Hero,Splendor I Smart,2015,80000,100,Trincomalee
Senaro GN 125 2026,183750,Senaro,Gn 125,2026,0,125,Kandy
TVS Ntorq Brand New 2025,149900,Tvs,Ntorq,2025,0,125,Colombo
Bajaj Pulsar 150 2018,610000,Bajaj,Pulsar 150,2018,39856,150,Anuradhapura
Demak DTM 2013,290000,Demak,Dtm,2013,19500,150,Kurunegala
TVS Raider 125 2025,259000,Tvs,Raider 125,2025,0,125,Colombo
Honda Dio 2014,445000,Honda,Dio,2014,12732,110,Colombo
Bajaj Pulsar NS200 2016,1085000,Bajaj,Pulsar Ns200,2016,30155,200,Kalutara
Rise E Bike 2026,669900,Rise,Other Model,2026,0,2000,Kegalle
TVS Sport 110 2026,140000,Tvs,Sport,2026,0,125,Colombo
