title,price,make,model,yom,mileage,engine_cc,location
TVS Ntorq 125 Brand New 2026,158500,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Ntorq 125 2021,158500,Tvs,Ntorq 125,2021,0,125,Colombo
TVS Ntorq 125 2026,158500,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Ntorq 125 Brand New 2026,159000,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj CT100 2026,184000,Bajaj,Ct100,2026,0,100,Gampaha
Bajaj CT100 2006,230000,Bajaj,Ct100,2006,34344,100,Gampaha
Bajaj XCD 125 2010,178000,Bajaj,Xcd 125,2010,65500,125,Batticaloa
Hero Xoom 110 2025,224520,Hero,Xoom 110,2025,0,110,Colombo
Hero Hunk 160R #160Cc 2026,454950,Hero,Hunk 160R,2026,0,160,Colombo
Bajaj Platina 100 ES 2016,360000,Bajaj,Platina 100 Es,2016,46500,100,Colombo
Bajaj Pulsar 150 2018,710000,Bajaj,Pulsar 150,2018,45185,150,Batticaloa
Hero Pleasure 2014,335000,Hero,Pleasure,2014,40000,100,Jaffna
Bajaj CT100 2015,260000,Bajaj,Ct100,2015,36000,100,Puttalam
Bajaj Discover 125 Disc ES New 2025,258975,Bajaj,Discover 125,2025,0,125,Colombo
TVS Metro 2012,165000,Tvs,Metro,2012,63200,100,Polonnaruwa
Hero Dash 2016,260000,Hero,Dash,2016,35550,110,Kurunegala
Yamaha Ray ZR 2025,854900,Yamaha,Ray Zr,2025,0,125,Colombo
Bajaj Platina 2015,360000,Bajaj,Platina,2015,85424,100,Monaragala
Bajaj Pulsar NS200 2018,880000,Bajaj,Pulsar Ns200,2018,55670,200,Colombo
KTM RC 200 2019,1675000,Ktm,Rc 200,2019,67850,199,Batticaloa
TVS Apache 180 2017,535000,Tvs,Apache,2017,55000,180,Batticaloa
Yamaha Ray ZR STREET RALLY 2019,515000,Yamaha,Ray Zr,2019,69000,110,Kurunegala
Suzuki Choi Nori 2022,108500,Suzuki,Other Model,2022,6000,48,Gampaha
TVS Raider 125 2026,156990,Tvs,Raider 125,2026,0,125,Colombo
Bajaj Chetak Electric 2026,342000,Bajaj,Chetak Electric,2026,0,4,Kalutara
Bajaj Pulsar 150 2011,340000,Bajaj,Pulsar 150,2011,78000,150,Gampaha
Honda Dio 2019,620000,Honda,Dio,2019,53200,110,Kurunegala
Rise Leader 125 Brand New 2026,696500,Rise,Leader,2026,0,125,Kegalle
Hero CD 100 2011,170000,Hero,Cd 100,2011,80000,100,Colombo
KTM Duke 160 2026,739950,Ktm,Duke,2026,0,160,Gampaha
Bajaj CT100 used 2025,530000,Bajaj,Ct100,2025,2750,100,Kandy
Bajaj Discover 135 2010,440000,Bajaj,Discover,2010,52000,135,Gampaha
Bajaj CT100 2024,550000,Bajaj,Ct100,2024,6714,100,Colombo
TVS Raider 125 2025,800000,Tvs,Raider 125,2025,0,125,Colombo
TVS Ntorq 125 2026,165800,Tvs,Ntorq 125,2026,0,125,Gampaha
TVS Ntorq 125 2020,595000,Tvs,Ntorq 125,2020,47300,125,Gampaha
Honda Twister 2017,335000,Honda,Twister,2017,60000,110,Ampara
Honda CD50 2000,175000,Honda,Other Model,2000,37385,50,Gampaha
Honda Dio 2016,460000,Honda,Dio,2016,85000,110,Matara
Bajaj Platina 100 Platin 2016,380000,Bajaj,Platina 100,2016,50000,100,Colombo
TVS Raider 125 2026,265000,Tvs,Raider 125,2026,0,125,Colombo
TVS Ntorq 125 2026,195000,Tvs,Ntorq 125,2026,0,125,Colombo
TVS iQube Electric 2026,128000,Tvs,Iqube Electric,2026,0,3,Colombo
Bajaj Platina 2010,320000,Bajaj,Platina,2010,68000,125,Hambantota
TVS Ntorq 125 Brand New 2026,165800,Tvs,Ntorq 125,2026,0,125,Gampaha
TVS Ntorq 125 2026,156840,Tvs,Ntorq 125,2026,0,125,Gampaha
Hero Passion pro 2010,193500,Hero,Passion Pro,2010,75000,100,Batticaloa
Bajaj Pulsar NS200 NS 200 2019,835000,Bajaj,Pulsar Ns200,2019,23500,200,Colombo
TVS Ntorq 125 Brand New 2026,174900,Tvs,Ntorq 125,2026,0,125,Colombo
Honda Dio 2019,620000,Honda,Dio,2019,38608,110,Hambantota
Honda Dio 2016,110500,Honda,Dio,2016,23500,110,Colombo
Honda Dio 2017,495000,Honda,Dio,2017,36700,110,Galle
Bajaj Platina 100 ES 2017,390000,Bajaj,Platina 100 Es,2017,98000,100,Colombo
TVS Stryker 2019,360000,Tvs,Stryker,2019,26500,125,Kalutara
Bajaj Pulsar 150 2011,320000,Bajaj,Pulsar 150,2011,46000,150,Batticaloa
Bajaj Discover 110 2011,240000,Bajaj,Discover 110,2011,78780,99,Galle
Bajaj Pulsar NS200 2016,735000,Bajaj,Pulsar Ns200,2016,28000,199,Ampara
Yamaha FZ V 3 2019,250000,Yamaha,Fz,2019,35000,150,Colombo
Hero Hunk 2016,418000,Hero,Hunk,2016,38248,150,Trincomalee
TVS Ntorq 125 2026,179900,Tvs,Ntorq 125,2026,0,125,Colombo
TVS Scooty Pept 2017,145000,Tvs,Scooty Pept,2017,37000,90,Colombo
Honda Benly 1998,590000,Honda,Benly,1998,140000,125,Kurunegala
Bajaj Discover 2012,240000,Bajaj,Discover,2012,61100,150,Colombo
Bajaj Pulsar 150 2005,195000,Bajaj,Pulsar 150,2005,34495,150,Anuradhapura
Yamaha Ray ZR 2018,450000,Yamaha,Ray Zr,2018,32600,110,Kurunegala
Bajaj Platina 125 2012,195000,Bajaj,Platina 125,2012,55000,125,Jaffna
Ranomoto CG125 2019,148000,Ranomoto,Cg125,2019,21000,125,Trincomalee
Bajaj Pulsar 180 2007,255000,Bajaj,Pulsar 180,2007,33335,180,Kegalle
Honda Activa 2015,315000,Honda,Activa,2015,40000,100,Jaffna
Bajaj Discover 2012,230000,Bajaj,Discover,2012,55000,150,Jaffna
Yamaha FZS V3 2019,850000,Yamaha,Fzs V3,2019,66000,150,Puttalam
Bajaj CT100 Brand New 2025,174000,Bajaj,Ct100,2025,0,100,Gampaha
Bajaj Classic SL 2000,330000,Bajaj,Other Model,2000,80000,125,Galle
TVS Scooty Pep+ 2016,280000,Tvs,Scooty Pep+,2016,65210,90,Gampaha
TVS Wego 110 2013,330000,Tvs,Wego 110,2013,54000,110,Jaffna
Honda Dio 2019,615000,Honda,Dio,2019,38000,110,Colombo
Honda CBR250R 2020,1300000,Honda,Cbr250R,2020,18500,250,Colombo
Honda CD 200 1983,2350000,Honda,Cd 200,1983,80000,200,Kilinochchi
Yadea T5 2024,120000,Yadea,T5,2024,8999,50,Kalutara
Yamaha FZS V3 2020,860000,Yamaha,Fzs V3,2020,44000,150,Kurunegala
Honda CD 125 1984,275000,Honda,Cd 125,1984,112000,125,Matara
Bajaj Pulsar N160 Premium 2025,900000,Bajaj,Pulsar N160,2025,800,160,Colombo
TVS Apache 2019,520000,Tvs,Apache,2019,98000,160,Anuradhapura
Bajaj CT100 ES 100 2024,110000,Bajaj,Ct100,2024,24000,100,Colombo
Honda Dio 2018,579000,Honda,Dio,2018,55000,110,Galle
TVS Streak 2012,190000,Tvs,Streak,2012,60000,90,Batticaloa
Bajaj Discover 125 2009,360000,Bajaj,Discover 125,2009,80000,135,Gampaha
Honda Dio 2016,485000,Honda,Dio,2016,42500,110,Matale
Honda CD 200 1980,1800000,Honda,Cd 200,1980,100000,194,Badulla
Bajaj Pulsar 135 2010,270000,Bajaj,Pulsar 135,2010,86000,135,Colombo
Hero Xoom I3s EFI 110 # 2026,357950,Hero,Xoom I3S,2026,0,110,Colombo
TVS Ntorq 125 2026,159000,Tvs,Ntorq 125,2026,0,125,Colombo
TVS XL Super 2013,180000,Tvs,Xl Super,2013,13000,100,Anuradhapura
Honda Dio 2017,495000,Honda,Dio,2017,65000,110,Kegalle
Bajaj Pulsar NS200 EFI ABS New 2025,509975,Bajaj,Pulsar Ns200,2025,0,200,Colombo
Bajaj Pulsar NS200 2026,515000,Bajaj,Pulsar Ns200,2026,0,200,Kalutara
TVS Ntorq 125 2026,55700,Tvs,Ntorq 125,2026,0,125,Colombo
Bajaj CT100 2025,259000,Bajaj,Ct100,2025,0,100,Colombo
Hero Maestro Edge 2017,310000,Hero,Maestro Edge,2017,65853,111,Gampaha
Suzuki GN 125 2010,500000,Suzuki,Gn 125,2010,9667,125,Gampaha
TVS Wego 110 2015,440000,Tvs,Wego,2015,80000,110,Jaffna
Hero Dash 2016,265000,Hero,Dash,2016,23000,110,Matara
Honda Dio 2017,535000,Honda,Dio,2017,43000,110,Kurunegala
Suzuki Access 2012,160000,Suzuki,Access,2012,33939,48,Matara
Yamaha FZs V2 2018,200000,Yamaha,Fzs V2,2018,50000,150,Kandy
Bajaj Pulsar RS200 2020,1390000,Bajaj,Pulsar Rs200,2020,32000,200,Vavuniya
TVS Jupiter 2014,210000,Tvs,Jupiter,2014,45000,110,Gampaha
TVS Ntorq 125 2025 Race Edition,730000,Tvs,Ntorq 125,2025,4000,125,Colombo
Yamaha FZ S V2 2019,860000,Yamaha,Fz S,2019,59167,150,Gampaha
Honda Navi 2017,355000,Honda,Navi,2017,40000,110,Colombo
Honda Activa 110 2014,410000,Honda,Activa,2014,55000,110,Jaffna
Bajaj CT100 2016,417000,Bajaj,Ct100,2016,47171,99,Kurunegala
Yamaha MT 15 2020,1095000,Yamaha,Mt 15,2020,39000,155,Colombo
Yamaha Ray 2013,230000,Yamaha,Ray,2013,150000,113,Kalutara
Bajaj CT100 2007,245000,Bajaj,Ct100,2007,85000,100,Kurunegala
Aprilia SR 2019,425000,Aprilia,Sr,2019,15130,125,Gampaha
Bajaj Platina 100 2008,189000,Bajaj,Platina,2008,88000,100,Kalutara
TVS Raider 125 2026,157000,Tvs,Raider 125,2026,0,125,Kalutara
Yamaha FZ V2 2016,745000,Yamaha,Fz,2016,27500,153,Matale
Honda XLR 1998,460000,Honda,Xlr,1998,40002,125,Galle
Yamaha FZS V1 2013,569000,Yamaha,Fzs V1,2013,670000,153,Gampaha
TVS Wego 2011,280000,Tvs,Wego,2011,60000,110,Kandy
Bajaj Discover 125 2013,300000,Bajaj,Discover 125,2013,5000,125,Anuradhapura
TVS Ntorq 125 2019,565000,Tvs,Ntorq 125,2019,32000,125,Kalutara
Yamaha Fazer 2015,650000,Yamaha,Fazer,2015,70000,153,Jaffna
TVS Raider 125 2025,188500,Tvs,Raider 125,2025,0,125,Colombo
TVS Ntorq 2025,149900,Tvs,Ntorq,2025,0,125,Kalutara
Bajaj Pulsar 150 2012,220000,Bajaj,Pulsar 150,2012,65000,150,Colombo
Honda Dio 2020,620000,Honda,Dio,2020,37523,110,Matale
Hero HF Deluxe 2025,173370,Hero,Hf Deluxe,2025,0,100,Colombo
Hero Pleasure 2014,267000,Hero,Pleasure,2014,25000,100,Puttalam
Hero Xoom 110 2025,209970,Hero,Xoom 110,2025,0,110,Colombo
Hero Pleasure 2015,335000,Hero,Pleasure,2015,25600,100,Colombo
Hero Xtreme 125R 2025,233070,Hero,Xtreme 125R,2025,0,125,Colombo
Honda PCX160 2025,2025000,Honda,Pcx160,2025,0,160,Kurunegala
TVS Ntorq 2025,178500,Tvs,Ntorq,2025,0,125,Gampaha
Bajaj Discover discovery 125 2023,137000,Bajaj,Discover,2023,25314,125,Colombo
Honda Dio 2014,138000,Honda,Dio,2014,18000,110,Gampaha
Honda Dio 2019,186000,Honda,Dio,2019,19600,110,Gampaha
Yamaha Ray ZR 2019,153000,Yamaha,Ray Zr,2019,63000,110,Gampaha
Hero Hunk 2010,295000,Hero,Hunk,2010,60000,150,Ampara
Bajaj CT100 Brand New 2026,141000,Bajaj,Ct100,2026,0,100,Kurunegala
